name,price
Makita HR1841F Electric Rotary Hammer Drill 470W 18mm,325.0
Makita Demolition Hammer HM0810T - 17mm Hex Shank Chipping Hammer,561.55
Makita HP347DWE 14.4V G Series Li-Ion Hammer Drill,1640.0
"Makita Brushless/Cordless Hammer Drill, 18 V, 50/25 Nm, 1,7kg, LED, DHP485Z",560.0
"Makita HM1203C Demolition Hammer, SDS Max Shank, AVT, 1510W",475.65
Makita DHP483RFJ 18V Li-Ion Hammer Drill,705.0
"Makita HR2631FT Combination Hammer Drill with Quick Change Chuck, 26 mm",3249.62
"Makita HP2070 2 Speed Hammer Drill, 20 mm Size, 1010W",1470.0
Makita B-12217 Thin Cutting Wheels - Flat Center (B-series) 115x1.0x22.23mm,1209.16
"Makita D-16287/29103 PT ACC SDS Plus Hammer Drill Bit, 16 mm Diameter",640.0
"Makita Cordless Hammer Drill 18V, 91/58 Nm, DHP458Z",20.9
"Makita DHR171Z - 18V Lithium-Ion Cordless Sub-Compact Rotary Hammer, W/Out Battery",44.0
"Makita 00505 SDS-Plus Hammers Drill Bit, 7 mm Diameter x 160 mm Overall Length",502.21
Makita D-59178 18 Pc. Assorted Drill Bit Set,11.3
"Makita D-00169/00555 SDS-Plus Hammers Drill Bit, 9 mm Diameter x 210 mm Overall Length",760.47
"Makita D00337/00723 SDS-Plus Hammers Drill Bit, 18 mm Diameter x 300 mm Overall Length",13.51
Makita B-65947 Screw driver PZ1 (#1X80),25.22
"Makita D-00016/00402 SDS-Plus Hammers Drill Bit, 4 mm Diameter x 110 mm Overall Length",13.0
"Makita D-00315/00701 SDS-Plus Hammers Drill Bit, 17 mm Diameter x 210 mm Overall Length",11.3
"Makita D-00290/D-00686 SDS-Plus Hammers Drill Bit, 16 mm Diameter x 210 mm Overall Length",22.37
Makita HP2050 Electric Impact Drill 720W 16mm,17.94
"DANNIO Rotary Hammer Drill with Dual Drill Modes, 360° Rotating Auxiliary Handle, 26mm SDS-Plus, Concrete Power Tools with Case - 800 Watts (DN-26)",515.93
"Makita D-17566 PT ACC SDS Plus Hammer Drill Bit, 18 mm Diameter",168.5
Makita DHR242RMJ 18 V Li-ion LXT Brushless Rotary Hammer Complete with 2 x 4.0 Ah Li-ion Batteries and Charger in a Makpac Case,2164.61
"Makita D00022/00418 SDS-Plus Hammers Drill Bit, 5 mm Diameter x 110 mm Overall Length",11.3
"Makita XRH05Z 18V X2 LXT Lithium-Ion (36V) Cordless 1-Inch Rotary Hammer, accepts SDS-PLUS bits, Tool Only",1594.86
Makita D20111 SDS-Plus Drill & Chisel 13pcS,105.0
Makita HM1201 Demolition Hammer,2401.13
Makita Corded Electric HR2630T - Power Hammers,1059.29
Makita E-05228 Hammer and Tool Holder,109.18
"Makita D-00175/00561 SDS-Plus Hammers Drill Bit, 10 mm Diameter x 160 mm Overall Length",29.24
"Makita 10.8V LXT Cordless Hammer Drill, HP331DWAE",639.0
"Bosch Solo Cordless Rotary, 06119110K0",576.52
Makita 6413 Rotary Drill with Keyless Chuck 450W,215.0
"Makita Cordless Drill, 18V, 54/30 Nm, BL, DDF484Z",586.48
"Makita B-65654 Demolition Hammer HM0810T, 900W",1500.0
"Makita DHR182ZJ Rotary Hammer, 18 V",1342.78
Makita E-05197 Fixing Pouch Hammer Holder,116.85
Makita D-54972 Hm1812/Hm1810 Hammer Carrier - Multi-Colour,679.6
"Makita D-16302 PT ACC SDS Plus Hammer Drill Bit, 24 mm Diameter",121.02
Bosch GSB 180-LI Professional 18V Cordless Combi,510.0
Makita DHR202RTJ 18v SDS+ Hammer Drill With 2x 5.0ah Li-Ion Batteries Supplied In Makpac Case,475.0
Makita B-14021 Tile Chisel for SDS-Max hammers,25.3
"Makita HR2650/2 Rotary Hammer, 800 W, 240 V, Blue, 26 mm",154.59
"Makita DDF481Z 18v Lithium-Ion Cordless Driver Drill, Brushless, W/Out Battery",1183.84
Makita DHR263Z Cordless Combination Hammer Drill,981.05
Makita Rotary Hammer 20mm SDS-Plus 710watts HR2020,502.05
"Makita A-80818 25mm SDS Max Shank Flat Cold Chisel, 400mm Length",610.0
"Makita 9558HNG Electric Angle Grinder 5"" 125mm 840W",98.94
"Makita 18V LXT Cordless Driver Drill 13mm, DF457DWE",350.0
"Makita XPH14T 18V LXT® Lithium-Ion Brushless Cordless 1/2"" Hammer Driver-Drill Kit (5.0Ah)",670.0
"Makita Black and Blue 850 Watts Rotary Hammer Drill, HR3200C",2520.0
"Bosch Impact Hammer Drill, PSB 680 RE",250.0
"Makita HM002GZ03 Twin 40V Li-ion XGT Brushless SDS-Max Demolition Hammer, 80 V",3843.07
"Makita B-65648 Demolition Hammer HM0870C, 1100W",2299.17
Makita HM1101C 240 V SDS Max AVT Demolition Hammer in a Carry Case,2966.26
"Makita Original Carbon Brushes, 1 Pair Makita Power Tool Original Replacement Parts CB-325, Part Number 195001-2, 194074-2",13.0
Makita HR4013C 110 V AVT Rotary Hammer SDS Max in a Carry Case,2565.0
"Makita AF506 2"" Brad Nailer, 18 Gauge",335.0
Makita D-15257 SDS-Plus Bit,99.35
"Makita XRH08PTW 18V x2 LXT (36V) Brushless Cordless 1-1/8"" AVT Rotary Hammer Kit, Accepts Sds-Plus Bits w/Hepa Dust Extractor (5.0Ah)",142.37
Makita E-05240 Hammer and Axe Holder,1311.89
"Makita HM0871C 12 lb. AVT® Demolition Hammer, accepts SDS-MAX bits",194.33
Makita A-85759 ACC Jigsaw Blade No.B24 for Mild Steel,29.65
Makita CC301DWAE 12V Max Lithium-ion Cordless Cutter with 2 x 12V 2.0 Ah Batteries and Charger,890.0
Makita B-05044 Reciprocating Blade,99.54
Makita A-85771 ACC Jigsaw Blade No.B26 for Scroll Cutting Hard Wood/Plastic,37.87
"Makita 800982 D35405 PT ACC Holesaw, 30 mm Diameter",27.12
Makita ACC B-02945 Nylon Cutting Head for Brush Cutter,118.24
Makita CP100DZ 12V Li-Ion Multi Cutter W/Out Battery,326.47
"Makita 1 x razor 18 V, 0.65 l, 18 V",466.49
"Makita DUR191LZX3 brushless Line Trimmer, 18 V",1299.64
"Makita P-43599 Abrasive Disc Girt K240, 125 mm Diameter",23.0
Makita P-45777 Guide Rail Connector Kit,36.0
Makita B-65763 Box Joint WP plier 300mm,175.0
Makita Single Port Lithium-ion Charger DC18RC,358.0
Makita 197378-1 Single Port Charger - DC18RC,360.0
"Makita Router, Rp2300fc",1775.0
"Makita 763622-4 - Collet Cone 1/2"", For 3600H, 3612BR, 3612C, 3612, RP1800 / RP2300FC",84.34
"Battery suitable for Makita 1220, 1222, 1233, 1234, 1235 12 V 3.0 Ah",172.86
"Makita PT354DZ 12v MAX Lithium-Ion Cordless Pin Nailer, 18-35mm, W/Out Battery",1364.34
"Makita Cordless Circular Saw 18V, 66 mm, Diameter 165 mm x 20 mm, DHS630Z",1352.66
"Makita DJR187Z - 18V Lithium-Ion Cordless Recipro Saw , W/Out Battery",800.33
"Makita Power Planers - 1902 82mm (3-1/4"")",2000.71
"Makita DCL180ZB Vacuum Cleaner, 30 W, 18 V, Blue",253.32
Makita Cordless Cleaner 18 V Li-ion,191.44
"Makita DCL182ZB Cordless Vacuum Cleaner 18 V Black 100 x 11.5 x 15 cm, 0 W",283.54
Makita DCL180Z Vacuum Cleaner 18V li-ion Cordless with Battery & Charger,965.0
"Makita Green Cross Line Laser, Self Leveling, accurate ± 0,3mm/1m, IP54, SK106GDZ",2061.05
Makita LD030P Laser Distance Measure 0.2-30M,232.01
"Makita DFJ214ZL 18V/14.4V/12V Lithium-ion Cordless Fan Jacket - Large, High-visibility type W/Out Battery",811.99
"Makita DFJ214ZXL 18V/14.4V/12V Lithium-ion Cordless Fan Jacket - XL, High-visibility type, W/Out Battery",788.84
"Makita D-17902 MDF Cutting Blade, 185 mm Diameter x 60 Teeth Size",136.27
Makita DVC750LZ 18V LXT Brushless Vacuum Cleaner Dry/Wet (Tool Only),736.74
Makita CL106FDZ 12v MAX Lithium-ion Cordless Cleaner,549.0
"Makita 18V LXT Cordless Vacuum Cleaner Cyclone Tool Only, DCL500Z",965.0
"Makita D-17918 MDF Cutting Blade, 235 mm Diameter x 80 Teeth Size",205.56
"Makita BO5041 Random Orbit Sander, 300W",575.51
